symbol,name,country,sector,industry,wikipediaTitle
A,Agilent Technologies,United States,Industrials,Biotechnology: Laboratory Analytical Instruments,Agilent Technologies
AACI,Armada Acquisition Corp. I,United States,Finance,Blank Checks,
AADI,Aadi Bioscience,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
AAL,American Airlines Group,United States,Consumer Discretionary,Air Freight/Delivery Services,American Airlines Group
AAME,Atlantic American Corporation,United States,Finance,Life Insurance,
AAOI,Applied Optoelectronics,United States,Technology,Semiconductors,
AAON,AAON,United States,Industrials,Industrial Machinery/Components,AAON
AAPL,Apple,United States,Technology,Computer Manufacturing,Apple Inc.
AAT,American Assets Trust,United States,Real Estate,Real Estate Investment Trusts,
ABBV,AbbVie,United States,Health Care,Biotechnology: Pharmaceutical Preparations,AbbVie
ABC,AmerisourceBergen Corporation,United States,Health Care,Other Pharmaceuticals,AmerisourceBergen
ABCB,Ameris Bancorp,United States,Finance,Major Banks,Ameris Bancorp
ABEO,Abeona Therapeutics,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
ABG,Asbury Automotive Group,United States,Consumer Discretionary,Retail-Auto Dealers and Gas Stations,Asbury Automotive Group
ABIO,ARCA biopharma,United States,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,
ABL,Abacus Life,United States,Finance,Investment Managers,
ABM,ABM Industriesorporated,United States,Finance,Diversified Commercial Services,ABM Industries
ABNB,Airbnb,United States,Consumer Discretionary,Hotels/Resorts,Airbnb
ABOS,Acumen Pharmaceuticals,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
ABR,Arbor Realty Trust,United States,Real Estate,Real Estate Investment Trusts,
ABSI,Absci Corporation,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
ABST,Absolute Software Corporation,Canada,,,Absolute Software Corporation
ABT,Abbott Laboratories,United States,Health Care,Medical/Dental Instruments,Abbott Laboratories
ABUS,Arbutus Biopharma Corporation,Canada,Health Care,Biotechnology: Pharmaceutical Preparations,Arbutus Biopharma
ABVC,ABVC BioPharma,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
AC,Associated Capital Group,United States,Finance,Investment Bankers/Brokers/Service,
ACAC,Acri Capital Acquisition Corporation,United States,Finance,Blank Checks,
ACAD,ACADIA Pharmaceuticals,United States,Health Care,Biotechnology: Pharmaceutical Preparations,Acadia Pharmaceuticals
ACAH,Atlantic Coastal Acquisition Corp.,United States,Finance,Blank Checks,
ACAQ,Athena Consumer Acquisition Corp.,,Finance,Blank Checks,
ACAX,Alset Capital Acquisition Corp.,United States,Health Care,Other Pharmaceuticals,
ACCD,Accolade,United States,Consumer Discretionary,Business Services,
ACCO,Acco Brands Corporation,United States,Consumer Discretionary,Publishing,ACCO Brands
ACDC,ProFrac Holding Corp.,United States,Energy,Oilfield Services/Equipment,
ACGL,Arch Capital Group Ltd.,Bermuda,Finance,Property-Casualty Insurers,Arch Capital Group
ACGN,Aceragen,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),
ACHC,Acadia Healthcare Company,United States,Health Care,Medical Specialities,Acadia Healthcare
ACHR,Archer Aviation,United States,Industrials,Aerospace,Archer Aviation
ACI,Albertsons Companies,United States,Consumer Staples,Food Chains,
ACIU,AC Immune SA,Switzerland,Health Care,Biotechnology: Pharmaceutical Preparations,
ACIW,ACI Worldwide,United States,Technology,EDP Services,ACI Worldwide
ACLS,Axcelis Technologies,United States,Technology,Industrial Machinery/Components,Axcelis Technologies
ACLX,Arcellx,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
ACM,AECOM,United States,Consumer Discretionary,Military/Government/Technical,AECOM
ACMR,ACM Research,United States,Technology,Industrial Machinery/Components,
ACNB,ACNB Corporation,United States,Finance,Major Banks,
ACNT,Ascent Industries Co.,United States,Industrials,Steel/Iron Ore,
ACON,Aclarion,United States,Technology,Retail: Computer Software & Peripheral Equipment,
ACOR,Acorda Therapeutics,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Acorda Therapeutics
ACR,ACRES Commercial Realty Corp.,United States,Real Estate,Real Estate Investment Trusts,
ACRE,Ares Commercial Real Estate Corporation,United States,Real Estate,Real Estate Investment Trusts,
ACRO,Acropolis Infrastructure Acquisition Corp.,,Finance,Blank Checks,
ACRS,Aclaris Therapeutics,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
ACRV,Acrivon Therapeutics,United States,Health Care, Medicinal Chemicals and Botanical Products ,
ACRX,AcelRx Pharmaceuticals,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
ACST,Acasti Pharma,Canada,Health Care,Biotechnology: Pharmaceutical Preparations,
ACT,Enact Holdings,United States,Finance,Specialty Insurers,
ACTG,Acacia Research Corporation (Acacia Tech),United States,Miscellaneous,Multi-Sector Companies,Acacia Research
ACU,Acme United Corporation.,United States,Consumer Discretionary,Industrial Machinery/Components,Acme United Corporation
ACVA,ACV Auctions,United States,Consumer Discretionary,Business Services,
ACXP,Acurx Pharmaceuticals,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
ADBE,Adobe,United States,Technology,Computer Software: Prepackaged Software,Adobe Inc.
ADC,Agree Realty Corporation,United States,Real Estate,Real Estate Investment Trusts,
ADEA,Adeia,United States,Technology,Semiconductors,
ADER,26 Capital Acquisition Corp.,United States,Finance,Blank Checks,
ADES,Advanced Emissions Solutions,United States,Industrials,Major Chemicals,
ADEX,Adit EdTech Acquisition Corp.,,Technology,EDP Services,
ADI,Analog Devices,United States,Technology,Semiconductors,Analog Devices
ADIL,Adial Pharmaceuticals,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
ADM,Archer-Daniels-Midland Company,United States,Consumer Staples,Packaged Foods,ADM (company)
ADMA,ADMA Biologics,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
ADMP,Adamis Pharmaceuticals Corporation,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
ADN,Advent Technologies Holdings,United States,Utilities,Power Generation,
ADP,Automatic Data Processing,United States,Technology,EDP Services,"ADP, Inc."
ADPT,Adaptive Biotechnologies Corporation,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),
ADRT,Ault Disruptive Technologies Corporation,,Finance,Blank Checks,
ADSK,Autodesk,United States,Technology,Computer Software: Prepackaged Software,Autodesk
ADT,ADT,United States,Consumer Discretionary,Diversified Commercial Services,ADT Inc.
