symbol,security,country,gics_sector,gics_sub_industry,categories
A,Agilent Technologies,United States,Industrials,Biotechnology: Laboratory Analytical Instruments,"[""1999 establishments in California"", ""Biotechnology companies of the United States"", ""Companies based in Santa Clara, California"", ""Health care companies based in California"", ""Medical technology companies of the United States"", ""Companies listed on the New York Stock Exchange"", ""Hewlett-Packard"", ""Instrument-making corporations"", ""Research support companies"", ""Technology companies based in the San Francisco Bay Area"", ""Technology companies established in 1999"", ""Health care companies established in 1999"", ""Corporate spin-offs"", ""1999 initial public offerings""]"
AACI,Armada Acquisition Corp. I,United States,Finance,Blank Checks,
AADI,Aadi Bioscience,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
AAL,American Airlines Group,United States,Consumer Discretionary,Air Freight/Delivery Services,"[""American Airlines Group| "", ""2012 in aviation"", ""2013 in aviation"", ""2012 in economics"", ""2013 in economics"", ""2013 establishments in the United States"", ""Airline holding companies of the United States"", ""Companies based in Fort Worth, Texas"", ""Holding companies established in 2013"", ""Companies listed on the Nasdaq"", ""Companies in the Dow Jones Transportation Average"", ""American companies established in 2013""]"
AAME,Atlantic American Corporation,United States,Finance,Life Insurance,
AAOI,Applied Optoelectronics,United States,Technology,Semiconductors,
AAON,AAON,United States,Industrials,Industrial Machinery/Components,"[""Companies based in Tulsa, Oklahoma"", ""Heating, ventilation, and air conditioning companies"", ""Companies listed on the Nasdaq"", ""American companies established in 1988"", ""American brands""]"
AAP,Advance Auto Parts,United States,Consumer Discretionary,Automotive Retail,"[""Companies listed on the New York Stock Exchange"", ""American companies established in 1932"", ""Retail companies established in 1932"", ""Automotive part retailers of the United States"", ""Companies based in Raleigh, North Carolina"", ""1932 establishments in Virginia"", ""2001 initial public offerings""]"
AAPL,Apple,United States,Technology,Computer Manufacturing,"[""Apple Inc.| "", ""1976 establishments in California"", ""1980s initial public offerings"", ""American brands"", ""Companies based in Cupertino, California"", ""Companies in the Dow Jones Industrial Average"", ""Companies in the PRISM network"", ""Companies listed on the Nasdaq"", ""Computer companies established in 1976"", ""Computer companies of the United States"", ""Display technology companies"", ""Electronics companies of the United States"", ""Home computer hardware companies"", ""Mobile phone manufacturers"", ""Multinational companies headquartered in the United States"", ""Networking hardware companies"", ""Portable audio player manufacturers"", ""Retail companies of the United States"", ""Software companies based in the San Francisco Bay Area"", ""Software companies established in 1976"", ""Steve Jobs"", ""Technology companies based in the San Francisco Bay Area"", ""Technology companies established in 1976"", ""Technology companies of the United States""]"
AAT,American Assets Trust,United States,Real Estate,Real Estate Investment Trusts,
ABBV,AbbVie,United States,Health Care,Biotechnology: Pharmaceutical Preparations,"[""AbbVie| "", ""2013 establishments in Illinois"", ""2013 initial public offerings"", ""Abbott Laboratories"", ""American companies established in 2013"", ""Biotechnology companies established in 2013"", ""Biotechnology companies of the United States"", ""Biopharmaceutical companies"", ""Companies based in Lake County, Illinois"", ""Companies listed on the New York Stock Exchange"", ""Corporate spin-offs"", ""Health care companies based in Illinois"", ""Orphan drug companies"", ""Pharmaceutical companies established in 2013"", ""Pharmaceutical companies of the United States""]"
ABC,AmerisourceBergen Corporation,United States,Health Care,Other Pharmaceuticals,"[""Companies based in Chester County, Pennsylvania"", ""Companies listed on the New York Stock Exchange"", ""Pharmaceutical companies established in 2001"", ""Pharmaceutical companies of the United States"", ""American companies established in 2001"", ""Companies based in Philadelphia"", ""Health care companies based in Pennsylvania""]"
ABCB,Ameris Bancorp,United States,Finance,Major Banks,"[""Ameris Bancorp| "", ""1971 establishments in Georgia (U.S. state)"", ""Banks established in 1971"", ""1980s initial public offerings"", ""Companies based in Atlanta"", ""Banks based in Jacksonville, Florida"", ""Companies listed on the Nasdaq"", ""Southbank, Jacksonville""]"
ABEO,Abeona Therapeutics,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
ABG,Asbury Automotive Group,United States,Consumer Discretionary,Retail-Auto Dealers and Gas Stations,"[""Companies listed on the New York Stock Exchange"", ""Retail companies established in 1995"", ""Companies based in Duluth, Georgia"", ""Auto dealerships of the United States""]"
ABIO,ARCA biopharma,United States,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,
ABL,Abacus Life,United States,Finance,Investment Managers,
ABM,ABM Industriesorporated,United States,Finance,Diversified Commercial Services,
