symbol,security,country,gics_sector,gics_sub_industry
A,Agilent Technologies,United States,Industrials,Biotechnology: Laboratory Analytical Instruments
AACI,Armada Acquisition Corp. I,United States,Finance,Blank Checks
AADI,Aadi Bioscience,United States,Health Care,Biotechnology: Pharmaceutical Preparations
AAL,American Airlines Group,United States,Consumer Discretionary,Air Freight/Delivery Services
AAME,Atlantic American Corporation,United States,Finance,Life Insurance
AAOI,Applied Optoelectronics,United States,Technology,Semiconductors
AAON,AAON,United States,Industrials,Industrial Machinery/Components
AAP,Advance Auto Parts,United States,Consumer Discretionary,Automotive Retail
AAPL,Apple,United States,Technology,Computer Manufacturing
AAT,American Assets Trust,United States,Real Estate,Real Estate Investment Trusts
ABBV,AbbVie,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ABC,AmerisourceBergen Corporation,United States,Health Care,Other Pharmaceuticals
ABCB,Ameris Bancorp,United States,Finance,Major Banks
ABEO,Abeona Therapeutics,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ABG,Asbury Automotive Group,United States,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
ABIO,ARCA biopharma,United States,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ABL,Abacus Life,United States,Finance,Investment Managers
ABM,ABM Industriesorporated,United States,Finance,Diversified Commercial Services
ABNB,Airbnb,United States,Consumer Discretionary,Hotels/Resorts
ABOS,Acumen Pharmaceuticals,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ABR,Arbor Realty Trust,United States,Real Estate,Real Estate Investment Trusts
ABSI,Absci Corporation,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ABST,Absolute Software Corporation,Canada,,
ABT,Abbott Laboratories,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ABUS,Arbutus Biopharma Corporation,Canada,Health Care,Pharmaceuticals and Biotechnology
ABVC,ABVC BioPharma,United States,Health Care,Biotechnology: Pharmaceutical Preparations
AC,Associated Capital Group,United States,Finance,Investment Bankers/Brokers/Service
ACAD,ACADIA Pharmaceuticals,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ACAH,Atlantic Coastal Acquisition Corp.,United States,Finance,Blank Checks
ACAQ,Athena Consumer Acquisition Corp.,,Finance,Blank Checks
ACAX,Alset Capital Acquisition Corp.,United States,Health Care,Other Pharmaceuticals
ACCD,Accolade,United States,Consumer Discretionary,Business Services
ACCO,Acco Brands Corporation,United States,Consumer Discretionary,Publishing
ACDC,ProFrac Holding Corp.,United States,Energy,Oilfield Services/Equipment
ACGL,Arch Capital Group Ltd.,Bermuda,Finance,Property-Casualty Insurers
ACGN,Aceragen,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACHC,Acadia Healthcare Company,United States,Health Care,Medical Specialities
ACHR,Archer Aviation,United States,Industrials,Aerospace
ACI,Albertsons Companies,United States,Consumer Staples,Food Chains
ACIU,AC Immune SA,Switzerland,Health Care,Biotechnology: Pharmaceutical Preparations
ACIW,ACI Worldwide,United States,Technology,Computer Software: Prepackaged Software
ACLS,Axcelis Technologies,United States,Technology,Industrial Machinery/Components
ACLX,Arcellx,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ACM,AECOM,United States,Consumer Discretionary,Military/Government/Technical
ACMR,ACM Research,United States,Technology,Industrial Machinery/Components
ACN,Accenture,United States,Information Technology,IT Consulting & Other Services
ACNB,ACNB Corporation,United States,Finance,Major Banks
ACNT,Ascent Industries Co.,United States,Industrials,Steel/Iron Ore
ACON,Aclarion,United States,Technology,Retail: Computer Software & Peripheral Equipment
ACOR,Acorda Therapeutics,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACR,ACRES Commercial Realty Corp.,United States,Real Estate,Real Estate Investment Trusts
ACRE,Ares Commercial Real Estate Corporation,United States,Real Estate,Real Estate Investment Trusts
ACRO,Acropolis Infrastructure Acquisition Corp.,,Finance,Blank Checks
ACRS,Aclaris Therapeutics,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ACRV,Acrivon Therapeutics,United States,Health Care, Medicinal Chemicals and Botanical Products 
ACRX,AcelRx Pharmaceuticals,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ACST,Acasti Pharma,Canada,Health Care,Biotechnology: Pharmaceutical Preparations
ACT,Enact Holdings,United States,Finance,Specialty Insurers
ACTG,Acacia Research Corporation (Acacia Tech),United States,Miscellaneous,Multi-Sector Companies
ACU,Acme United Corporation.,United States,Consumer Discretionary,Industrial Machinery/Components
ACVA,ACV Auctions,United States,Consumer Discretionary,Business Services
ACXP,Acurx Pharmaceuticals,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ADBE,Adobe,United States,Technology,Computer Software: Prepackaged Software
ADC,Agree Realty Corporation,United States,Real Estate,Real Estate Investment Trusts
ADEA,Adeia,United States,Technology,Semiconductors
ADER,26 Capital Acquisition Corp.,United States,Finance,Blank Checks
ADES,Advanced Emissions Solutions,United States,Industrials,Major Chemicals
ADEX,Adit EdTech Acquisition Corp.,,Technology,EDP Services
ADI,Analog Devices,United States,Technology,Semiconductors
ADIL,Adial Pharmaceuticals,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ADM,Archer-Daniels-Midland Company,United States,Consumer Staples,Packaged Foods
ADMA,ADMA Biologics,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADMP,Adamis Pharmaceuticals Corporation,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ADN,Advent Technologies Holdings,United States,Miscellaneous,Industrial Machinery/Components
ADP,Automatic Data Processing,United States,Technology,EDP Services
ADPT,Adaptive Biotechnologies Corporation,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADRT,Ault Disruptive Technologies Corporation,,Finance,Blank Checks
ADSK,Autodesk,United States,Technology,Computer Software: Prepackaged Software
ADT,ADT,United States,Consumer Discretionary,Diversified Commercial Services
ADTH,AdTheorent Holding Company,United States,Consumer Discretionary,Advertising
ADTN,ADTRAN Holdings,United States,Telecommunications,Telecommunications Equipment
ADTX,Aditxt,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ADUS,Addus HomeCare Corporation,United States,Health Care,Medical/Nursing Services
ADV,Advantage Solutions,United States,Consumer Discretionary,Advertising
ADVM,Adverum Biotechnologies,United States,Health Care,Biotechnology: Pharmaceutical Preparations
AE,Adams Resources & Energy,United States,Energy,Oil Refining/Marketing
AEAE,AltEnergy Acquisition Corp.,United States,Finance,Blank Checks
AEE,Ameren Corporation,United States,Utilities,Power Generation
AEF,abrdn Emerging Markets Equityome Fund,United States,Finance,Finance/Investors Services
